구별코드,TWI_min,TWI_max,TWI_count,TWI_counts
동대문구,0.6564733386039734,23.54228973388672,256,12|14|20|23|29|44|81|117|174|259|310|411|531|613|738|827|973|1088|1180|1238|1368|1526|1750|1765|1821|1972|2037|2191|2235|2259|2256|2368|2310|2403|2398|2502|2443|2368|2470|2482|2492|2551|2506|2443|2530|2523|2575|2543|2513|2468|2370|2364|2270|2381|2173|2183|2188|2189|2111|2154|2084|2017|2030|1890|2102|1889|1893|1919|1869|1783|1699|1680|1567|1654|1564|1542|1621|1517|1462|1371|1319|1288|1246|1220|1221|1140|1127|982|880|756|689|552|549|537|542|469|436|417|371|373|297|239|218|226|210|206|214|215|207|173|173|189|187|184|165|183|151|164|162|109|90|87|82|81|79|70|73|72|54|50|84|62|58|36|42|25|34|36|37|41|50|35|24|36|32|23|18|18|36|35|25|29|26|26|20|24|20|25|39|29|24|19|15|18|13|17|19|18|21|52|20|15|25|17|17|14|11|5|9|15|10|6|8|6|5|8|9|6|4|6|4|5|4|6|5|5|3|1|7|2|2|0|3|2|0|2|0|2|0|0|2|3|1|0|0|1|0|2|0|0|1|0|3|0|0|0|1|0|1|0|0|3|0|0|0|0|0|0|1|0|0|0|0|0|1|1|0|1|0|0|0|1|0|0|0|1
동작구,0.5864787101745605,23.11600875854492,256,3|6|17|22|54|81|162|238|384|516|776|941|1061|1331|1453|1760|1940|2284|2446|2666|2847|3116|3406|3591|3661|4108|4054|4317|4179|4279|4392|4418|4515|4474|4565|4513|4561|4397|4578|4458|4431|4539|4399|4274|4280|4135|4173|3986|4033|3967|3831|3769|3654|3679|3660|3642|3414|3421|3234|3221|2927|2884|2858|2734|2713|2594|2622|2545|2404|2315|2132|2004|2024|1879|1902|1835|1756|1748|1653|1593|1497|1403|1325|1212|1182|1141|1096|1069|1024|997|822|840|765|751|710|658|583|528|511|491|467|418|424|372|351|380|279|267|243|254|208|217|187|194|190|223|179|136|120|118|121|114|122|118|111|99|98|74|89|88|82|71|78|57|73|49|50|39|38|52|33|54|52|36|53|38|37|37|29|34|32|37|26|26|25|33|33|33|29|31|26|17|30|30|16|25|16|19|15|21|23|8|15|12|13|12|11|7|12|9|9|6|4|13|10|3|3|11|10|6|3|6|0|3|9|4|5|3|2|7|2|6|5|4|2|4|1|1|5|0|3|0|5|2|2|1|2|1|1|1|1|3|0|0|0|0|0|0|0|1|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|1
마포구,0.6925156712532043,22.13898468017578,256,9|18|33|75|151|291|451|701|1026|1381|1810|2167|2650|3116|3349|3910|4171|4563|4867|5128|5252|5512|5580|5897|6018|6182|6165|6367|6454|6671|6760|6592|6780|6880|6844|6979|6854|6811|6863|6791|6716|6513|6627|6453|6143|6137|6214|6011|5933|5798|5715|5740|5519|5435|5320|5271|5090|5088|5140|5053|4859|4826|4777|4539|4487|4290|4257|3998|3869|3833|3776|3590|3426|3319|3281|3167|2997|3009|2873|2770|2654|2632|2517|2373|2229|2238|2188|2046|1973|1814|1865|1770|1629|1537|1535|1524|1597|1576|1640|1663|1443|1276|1078|1018|871|831|768|681|662|611|575|461|428|403|383|347|356|327|296|256|247|200|212|209|219|191|168|168|163|152|125|135|137|116|85|67|77|98|96|90|70|67|69|54|64|62|36|48|39|41|46|36|32|24|20|36|25|23|25|20|28|31|31|14|20|21|15|14|17|17|13|15|11|9|7|9|15|10|19|11|13|11|20|16|16|14|17|13|13|9|13|8|10|4|8|6|6|4|7|10|3|6|5|6|2|4|7|1|2|4|2|1|0|2|3|1|0|2|2|0|1|2|2|2|2|5|1|1|4|8|1|1|4|3|1|2|2|0|2|1|0|0|0|1|0|2|1|1|1|1|0|0|2|0|0|1
서대문구,0.6539727449417114,22.87771606445313,256,13|36|83|174|332|551|886|1262|1644|2127|2723|3174|3598|4069|4448|4777|5226|5656|5673|6041|6066|6191|6381|6306|6388|6282|6151|6149|6040|6024|5893|5778|5788|5658|5441|5345|5262|5306|5026|4909|4792|4804|4655|4492|4261|4247|4239|4089|3884|3756|3660|3659|3414|3321|3419|3272|3068|3042|3019|2760|2765|2721|2662|2560|2432|2395|2251|2197|2201|2099|2055|2015|1977|1899|1940|1867|1773|1802|1769|1663|1615|1559|1504|1440|1433|1332|1319|1270|1252|1275|1174|1109|1021|965|890|916|838|807|801|775|779|670|607|617|566|507|424|397|382|350|300|241|228|239|237|182|194|165|193|220|197|213|206|137|126|115|94|97|107|85|112|132|83|98|82|97|58|62|58|58|41|57|52|40|34|41|30|25|27|33|30|31|33|27|17|17|11|18|20|21|21|13|24|14|9|16|12|7|9|8|7|10|6|5|7|9|4|3|4|7|8|6|3|4|2|0|3|3|1|0|3|0|7|0|1|2|0|1|0|3|1|0|4|1|3|1|0|1|1|0|1|1|1|0|1|1|2|4|1|1|1|1|1|1|2|1|0|2|1|2|2|0|2|0|1|1|0|0|2|0|1|0|0|0|0|1|0|0|0|0|0|0|0|1|0|1
서초구,0.5422442555427551,28.28829765319824,256,3|5|17|57|173|439|893|1727|2765|4223|5812|7801|9350|11167|12782|14318|15599|17076|18237|19106|19455|20243|20637|21090|21184|21682|21442|21513|21320|20941|20814|20820|20620|20119|19610|19506|18801|18489|18047|17472|17532|16771|16522|15894|15342|14830|14546|14278|13679|13230|12874|12182|11945|11327|11002|10420|9570|9152|8830|8410|7886|7298|7015|6501|6182|5712|5262|4809|4434|4123|3950|3733|3561|3541|3522|3536|3351|3250|3274|3134|2936|2538|1874|1783|2076|2112|1982|1581|1206|1049|953|1019|811|605|612|576|494|452|406|427|385|331|287|296|275|287|235|187|184|175|164|161|135|120|111|114|101|102|91|78|74|86|87|81|69|57|49|56|51|44|31|40|25|25|20|24|21|22|33|28|23|17|15|22|22|19|16|17|26|20|14|10|11|6|8|9|6|12|11|7|11|7|10|9|11|9|8|8|8|6|4|5|8|6|3|5|6|7|8|4|4|2|5|3|5|4|5|2|2|2|1|2|0|1|0|0|3|1|1|1|0|0|1|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1
성동구,0.8226472735404968,23.54228973388672,256,6|9|26|36|57|88|133|176|213|323|344|451|589|748|837|909|1125|1207|1304|1451|1504|1679|1828|1868|2012|2077|2173|2303|2390|2391|2467|2580|2468|2643|2705|2694|2727|2751|2696|2683|2699|2526|2739|2491|2522|2548|2504|2469|2498|2430|2385|2229|2186|2169|2140|2054|1932|1958|1778|1793|1705|1644|1601|1483|1443|1494|1347|1317|1327|1293|1295|1300|1235|1165|1152|1092|1154|1107|1067|1004|989|1023|962|928|823|733|696|570|593|482|441|373|377|325|299|246|222|240|226|189|174|162|134|153|117|108|118|109|124|116|125|113|136|150|123|117|120|112|72|73|43|57|73|77|56|48|59|49|37|39|45|47|58|39|38|19|31|34|38|30|20|21|19|25|21|17|13|22|19|51|15|17|12|12|11|14|9|7|6|8|20|15|9|7|12|8|11|9|11|8|4|6|5|2|9|3|6|4|3|4|0|4|6|1|4|3|2|5|5|3|6|3|5|3|4|4|4|3|1|2|2|0|5|2|3|0|2|4|4|2|4|1|1|1|2|3|1|0|0|0|1|2|3|1|0|0|1|0|0|1|1|1|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|1
성북구,0.6415624618530273,27.02058982849121,256,6|43|118|310|646|1251|1870|2568|3317|4004|4691|5631|6436|7368|7964|8742|9060|9816|10276|10334|10976|11144|11272|11033|11024|10963|10749|10519|10335|10243|9935|9617|9356|8997|8795|8584|8163|7789|7710|7309|7088|7024|6721|6541|6378|6396|5961|5783|5797|5500|5381|5341|4926|5044|4746|4640|4602|4422|4269|4296|4027|3860|3620|3442|3234|3200|3030|2823|2720|2488|2471|2338|2192|1999|2026|1822|1677|1618|1482|1476|1341|1229|1126|1018|977|933|887|849|735|663|557|492|486|447|417|393|374|372|307|299|240|249|240|230|221|216|168|167|160|156|145|117|114|103|102|88|86|117|83|64|69|54|105|61|52|68|57|61|40|29|30|33|33|23|15|18|16|15|10|6|21|21|9|22|10|5|27|14|8|9|10|11|30|17|12|8|15|7|20|10|10|4|5|17|23|11|10|15|10|12|11|18|13|6|6|10|10|10|8|14|12|7|10|7|6|9|1|4|2|6|1|2|1|4|2|3|2|3|1|1|2|1|2|1|2|2|3|4|4|2|1|1|2|1|1|2|0|0|0|0|1|1|0|1|1|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|1
송파구,0.8874636888504028,28.28829765319824,256,7|13|39|111|223|479|762|1183|1453|2014|2584|3115|3719|4188|4844|5401|5703|6121|6524|6876|7237|7537|7843|7935|8066|8495|8623|8715|8847|8938|9219|9289|9269|9441|9326|9307|9432|9544|9529|9358|9217|9217|9138|8949|8769|8619|8746|8443|8400|8418|7960|7954|7569|7450|7052|6964|6665|6456|5951|5752|5502|5203|4974|4730|4482|4237|4143|4152|4015|3802|3643|3513|3389|3588|3541|3473|3616|3391|3189|2905|2762|2587|2384|2420|3189|2427|2090|1173|1024|1080|857|635|552|631|490|572|436|446|403|378|375|316|328|279|228|194|205|221|193|180|145|141|146|109|112|84|73|109|89|88|71|48|48|42|40|33|39|32|24|33|29|22|33|33|29|20|26|17|19|22|26|24|19|19|11|15|10|16|12|12|13|6|6|17|8|5|8|6|4|10|2|8|2|1|7|6|9|4|7|3|7|8|7|6|5|6|8|5|5|3|5|4|5|4|3|4|0|2|0|0|4|2|0|1|0|1|1|1|1|0|0|0|0|0|0|0|0|0|3|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1
양천구,0.9025450944900512,23.46676826477051,256,4|9|27|46|108|211|336|513|733|859|1110|1291|1512|1718|1913|2024|2217|2357|2538|2584|2729|2914|3008|3081|3131|3234|3340|3422|3434|3491|3542|3579|3550|3682|3686|3595|3709|3667|3722|3750|3589|3695|3559|3512|3463|3603|3498|3444|3373|3341|3322|3300|3058|3144|3014|2974|2866|2807|2529|2559|2406|2445|2341|2310|2136|2143|1992|2030|1897|1859|1793|1739|1681|1668|1624|1611|1626|1524|1485|1394|1345|1246|1206|1143|1127|1178|1192|1131|1033|918|986|1021|1080|1167|1207|1108|948|842|849|812|764|694|655|668|566|697|560|499|324|349|319|452|382|339|238|179|229|149|147|192|123|107|127|137|129|112|104|87|75|99|92|60|98|76|73|54|64|59|53|57|50|84|62|53|50|44|37|33|36|37|45|38|43|30|25|23|28|62|17|46|19|24|13|11|15|11|8|7|4|4|7|4|6|2|10|6|4|3|3|7|2|4|5|1|7|5|4|5|3|5|7|4|4|4|8|4|11|6|12|12|8|9|7|12|11|15|15|7|9|16|11|5|8|7|5|5|3|6|6|4|5|7|1|3|3|1|1|1|3|1|2|0|0|0|0|0|1|0|0|2|0|0|1|0|0|0|2|1|0|0|0|0|0|0|0|1
영등포구,0.8237619400024414,23.59290504455566,256,2|10|6|23|47|92|101|178|250|345|476|551|662|982|1002|1124|1281|1473|1568|1703|1946|2124|2305|2542|2658|2837|2976|3041|3261|3359|3624|3704|3790|4048|3949|3960|3911|4013|4130|4019|4104|4034|4151|4207|4082|4160|4106|4362|4126|4239|4147|4017|4062|4113|4132|3874|3926|3787|3679|3618|3634|3486|3491|3370|3193|3148|3069|3044|2975|2917|2831|2773|2744|2607|2571|2568|2432|2449|2395|2268|2196|2052|1952|1869|1776|1882|1850|1776|1748|1610|1506|1571|1578|1535|1499|1393|1270|1126|712|590|524|504|467|387|357|352|277|305|253|231|235|271|264|213|194|183|165|166|130|144|141|101|84|118|89|101|101|90|103|72|76|50|54|45|62|62|57|55|56|37|44|36|45|27|23|21|33|27|23|17|16|18|16|17|14|11|13|12|18|13|12|6|12|15|9|14|9|7|11|8|16|13|10|14|11|11|8|7|12|11|8|9|13|17|18|14|11|9|18|26|22|24|28|19|24|28|41|24|24|27|27|28|25|20|31|26|20|17|29|19|14|21|19|16|20|14|9|4|9|13|5|9|8|10|6|12|6|3|9|3|4|4|3|5|0|4|3|2|1|3|2|0|0|1|2|0|3|2|0|0|0|4|0|0|1|1
용산구,0.5912473797798157,22.79140853881836,256,4|4|6|26|48|88|128|248|366|437|611|770|970|1122|1313|1563|1590|1823|2065|2309|2463|2726|2847|3167|3286|3367|3604|3723|3938|3975|4126|4174|4194|4203|4468|4400|4305|4229|4278|4201|4324|4136|4037|4032|4048|3945|3862|3843|3645|3634|3577|3363|3402|3345|3191|3026|2878|2780|2767|2582|2561|2401|2403|2251|2260|2233|2115|2003|1852|1853|1590|1543|1537|1317|1362|1186|1156|1144|1138|1110|1128|1059|1027|1014|975|982|913|888|854|825|792|832|724|701|622|568|566|638|624|506|447|423|405|313|305|270|234|207|186|225|191|176|182|141|140|148|121|97|99|104|101|98|92|83|90|75|88|65|57|63|45|47|33|32|43|43|26|31|33|32|34|45|34|27|32|27|33|33|25|30|22|16|13|20|15|13|11|10|9|10|6|6|8|9|7|4|7|6|8|2|6|4|7|4|2|7|3|5|6|7|4|3|6|4|7|6|4|8|5|5|4|9|11|5|3|6|1|8|6|3|1|4|3|3|4|3|2|2|2|3|1|2|2|3|1|2|1|0|2|0|0|0|0|0|0|0|1|0|0|0|1|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1
