TWI_min,TWI_max,TWI_count,TWI_counts
0,-1,1,0
0.4839031398296356,24.16609573364258,256,6|14|34|56|95|144|180|296|433|587|755|1134|1337|1657|1972|2337|2848|3032|3353|3817|4150|4425|4689|4960|5205|5428|5543|5478|5500|5645|5441|5431|5379|5292|5096|4908|4925|4715|4643|4405|4343|4192|4014|3964|3829|3647|3623|3461|3530|3453|3484|3305|3333|3375|3250|3234|3119|3128|3121|3059|3050|2868|3094|3014|2997|3017|2912|2983|2781|2878|2673|2719|2755|2514|2511|2494|2406|2183|2215|2027|1947|1907|1787|1651|1593|1451|1411|1342|1303|1251|1137|1069|932|873|869|809|699|606|581|567|542|478|428|390|311|289|271|267|234|215|207|165|146|160|179|137|133|151|146|123|110|90|87|91|82|125|98|78|89|76|58|66|57|45|42|55|46|39|41|23|29|33|26|33|27|26|49|24|19|11|8|13|15|21|15|16|28|8|15|4|14|14|9|14|14|16|10|11|10|7|7|4|9|11|13|21|11|13|11|8|7|5|6|9|7|6|3|9|6|5|2|5|7|4|7|6|7|5|5|9|7|7|8|7|1|8|5|3|4|4|7|2|1|1|3|3|3|0|1|1|3|2|0|1|0|1|1|1|1|0|1|0|0|0|0|0|0|2|2|0|0|1|0|0|1|0|0|0|1|0|0|0|0|0|0|1
