TWI_min,TWI_max,TWI_count,TWI_counts
0,-1,1,0
0.4066631495952606,22.95236778259277,256,5|8|37|118|190|420|776|1336|2244|3135|4092|4790|5477|6091|6677|7425|8003|8599|9311|9719|10098|10320|10495|10753|10833|10767|10711|10787|10487|10159|9910|9685|9275|8842|8613|8164|8077|7590|7177|6985|6712|6332|6131|5985|5753|5381|5225|5135|4778|4585|4589|4402|4186|4097|3991|3889|3686|3678|3496|3473|3350|3187|3068|3040|2846|2765|2776|2578|2634|2509|2417|2383|2220|2188|2157|2001|2013|1922|1933|1837|1770|1643|1618|1618|1506|1486|1481|1392|1365|1304|1253|1171|1172|974|953|881|820|761|697|731|705|618|557|512|432|381|390|425|345|320|262|295|309|249|256|241|245|259|213|237|230|172|160|169|162|141|148|115|129|151|113|105|90|83|100|105|103|94|106|83|83|77|90|67|61|71|102|60|52|50|47|47|54|36|45|59|31|32|33|25|20|24|21|25|11|20|20|16|17|13|16|19|11|19|18|12|11|13|6|5|8|5|3|5|6|5|4|4|4|5|1|1|1|2|2|5|2|2|0|3|2|2|4|0|1|0|0|1|3|0|1|1|0|0|0|1|1|0|1|0|0|1|0|0|0|0|0|0|0|0|0|0|1|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1
